idplaces	id	person	position
0079bbc151fa56d2	2246474	3pl	ant
13d479b108707983	2310230	1pl	ant
0a738ff13a08a7dd	2404109	3pl	ant
fdfe71d3b7d78b56	2501339	1pl	pos
547fe91108bd744c	2705296	1pl	pos
00b6e714281032b2	2722600	3pl	pos
01fcc4a23f17e1ed	2740914	3pl	ant
f68227769e30abbc	2905492	3pl	ant
018f1cde6bad9747	2924232	3pl	ant
018f1cde6bad9747	2928618	3pl	pos
018f1cde6bad9747	2930482	3pl	pos
018f1cde6bad9747	2931004	3pl	pos
00758a48394df3ce	3151882	3pl	ant
3c1b7b1798765eef	3337752	3pl	pos
01d5a4263d85ebc1	3369023	3pl	ant
043383f8b2b79918	3507521	1pl	ant
018f1cde6bad9747	3804518	3pl	pos
206c436ce43a43a3	3939708	3pl	ant
8c86b8b4cb716103	3943592	1pl	pos
695f560eb8922977	4059563	3pl	ant
00c4b64e7affea25	4063552	3pl	pos
01fcc4a23f17e1ed	4119385	3pl	pos
0108c69f708ae783	4182229	1pl	ant
004ad1e2734fc1e3	4206540	3pl	ant
ff3516e19472e345	4324415	2pl	pos
043383f8b2b79918	4336083	3pl	pos
0032baff35718ca4	4386684	3pl	ant
b538938ca48e6ea0	4432404	1pl	ant
0093a5dd1242be45	4503882	3pl	ant
018f1cde6bad9747	4517868	1pl	pos
0d2b3f57721681d5	4567962	3pl	ant
018f1cde6bad9747	4618763	3pl	pos
018f1cde6bad9747	4620628	3pl	pos
018f1cde6bad9747	4621819	3pl	ant
010d7db066434a8a	4623687	3pl	ant
018f1cde6bad9747	4634509	3pl	pos
018f1cde6bad9747	4681721	3pl	ant
018f1cde6bad9747	4684404	3pl	pos
0093a5dd1242be45	4708214	3pl	ant
01fd50ae72f37614	4821651	1pl	ant
011746fd707b3b1b	4858885	3pl	ant
018f1cde6bad9747	5010642	3pl	ant
77d45fff09fe6f8a	5107158	1pl	pos
824a305dcc9ef250	5118053	3pl	ant
0108c69f708ae783	5200928	3pl	ant
867bb4d564deee82	5257890	3pl	ant
018f1cde6bad9747	5308088	1pl	ant
47f22112ec78d4a6	5364187	1pl	pos
043383f8b2b79918	5594989	3pl	ant
2dfa9ecb0179a4e4	5657985	3pl	ant
0105a80417c159b4	5735887	3pl	pos
1a27537478dd8e38	5770145	1pl	pos
f68227769e30abbc	5808080	3pl	pos
ea520f3528c9b3e4	5910640	3pl	pos
21c5dc2e9bf656f9	6027101	1pl	ant
011a16c56feb41c3	6229276	3pl	ant
0032baff35718ca4	6290750	3pl	ant
01e0aaf250623895	6307357	3pl	ant
043383f8b2b79918	6411387	3pl	ant
f68227769e30abbc	6490440	3pl	ant
00f6b5cf7c1767b1	6577392	3pl	pos
00da823773feadb6	6638109	3pl	ant
0021712c0bd7eec1	6675905	3pl	ant
0105a80417c159b4	6687360	3pl	ant
59d08c41f3229755	6744757	1pl	ant
002d95e36048f162	6748861	1pl	ant
0161be1b3f98d6c3	6801945	3pl	ant
0079bbc151fa56d2	6860571	3pl	ant
5a31f78df98634d6	6918569	3pl	ant
0076d1e461d1ee75	7034621	3pl	ant
ea962961b94011f1	7105161	1pl	pos
018f1cde6bad9747	7142654	3pl	ant
0161be1b3f98d6c3	7222175	3pl	pos
00980b8527832b2e	7456092	1pl	ant
9d8ae4b0fac2036a	7505202	3pl	ant
018f1cde6bad9747	7731983	3pl	ant
c9813d7bd901ad0c	7756437	1pl	ant
018f1cde6bad9747	8015555	3pl	ant
9d8ae4b0fac2036a	8237392	3pl	pos
8c86b8b4cb716103	8601221	3pl	ant
90a5d505052f7bae	8605288	1pl	pos
018e4aba7010ecbe	8613199	3pl	ant
003b48082dfdd19b	8756041	3pl	ant
c3f37afa9efcf94b	8809018	3pl	ant
0108a8b56314737e	8930374	3pl	ant
22886de3634e157a	8997888	3pl	ant
013044056c4adf51	9004609	3pl	ant
012af435641420c7	9026804	3pl	ant
043383f8b2b79918	9035850	3pl	pos
0e2dac091d980ab9	9129632	3pl	pos
4e43cac8250a8b20	9194353	3pl	pos
0177894212b08f73	9404800	1pl	ant
ea520f3528c9b3e4	9450245	1pl	ant
0150459b5095a59f	9491694	3pl	pos
9966c19587a77652	9685125	1pl	ant
0161be1b3f98d6c3	9726289	3pl	pos
012b6b2c110f0c21	9791048	3pl	ant
01f2931e2c7f48a8	9942559	3pl	ant
1dde44866aedfed4	9991674	3pl	ant
695f560eb8922977	10053204	3pl	ant
1a27537478dd8e38	10204624	3pl	ant
00cc64bf0c951160	10208816	3pl	ant
3f5102bbac88f700	10239630	3pl	pos
b462c87ea2b4ff26	10356772	3pl	ant
007d375579cdad52	10565169	3pl	ant
c52827ebd9bfe563	10715514	3pl	pos
043383f8b2b79918	10757965	3pl	pos
01d13f2529da75c4	10897525	3pl	ant
206c436ce43a43a3	10953646	1pl	ant
206c436ce43a43a3	11120716	1pl	pos
0105a80417c159b4	11181102	1pl	ant
01672bcb06c049f6	11289753	3pl	ant
007d375579cdad52	11394523	1pl	ant
01fe21bb4c036853	11848772	3pl	pos
507a015cba6ef518	11878757	3pl	pos
014f72200f706d3f	11887694	3pl	ant
018f1cde6bad9747	12029117	1pl	ant
92e2862ad5ade308	12111364	1pl	ant
82121f021e0f8b5b	12154768	3pl	ant
507a015cba6ef518	12186314	3pl	ant
4afa2757051c5192	12287220	3pl	ant
862fdecf3a49a2c9	12313607	3pl	pos
0b79f7e718cb54b9	12376777	3pl	ant
018f1cde6bad9747	12448204	3pl	ant
012c447f4ce72363	12602426	3pl	ant
00758a48394df3ce	12616366	3pl	ant
71bab00ec49f7d50	12722830	3pl	pos
90a5d505052f7bae	12728405	3pl	pos
0afa996ca138b63c	12873049	3pl	ant
000ceddc32916a4c	13022124	3pl	ant
862fdecf3a49a2c9	13065796	3pl	pos
4afa2757051c5192	13292194	1pl	ant
ea520f3528c9b3e4	13308121	3pl	ant
016eb87b25e8a354	13342797	3pl	ant
01d9c7364214c516	13375481	3pl	ant
2afe3164f39d1b83	13467659	1pl	ant
0148157228b7268a	13484871	3pl	ant
ac26bceca6c10474	13544775	3pl	pos
2afe3164f39d1b83	13569943	1pl	ant
206c436ce43a43a3	13692726	3pl	ant
3ad512d283f67a11	13730626	1pl	pos
043383f8b2b79918	13828037	3pl	pos
018f1cde6bad9747	13973879	3pl	ant
00c77f9d025ab29a	14210815	3pl	ant
2afe3164f39d1b83	14333899	1pl	ant
00f6b5cf7c1767b1	14584936	3pl	pos
01a73d6169f504ac	14654520	1pl	ant
002880af1d28ba81	14736392	3pl	ant
000f50400f2ec9b3	14754930	3pl	ant
0177bc687a9ac697	14896431	3pl	pos
018f1cde6bad9747	14903258	3pl	ant
018f1cde6bad9747	14940654	3pl	pos
018f1cde6bad9747	14941367	3pl	ant
00ec4c32070f5076	15113046	3pl	ant
935d946682cab2e1	15257397	3pl	pos
ae24a749d89baaf8	15266204	1pl	ant
0161be1b3f98d6c3	15337482	3pl	pos
547fe91108bd744c	15341246	3pl	pos
0161be1b3f98d6c3	15406022	3pl	ant
01c93e351e3122fb	15473565	3pl	ant
018f1cde6bad9747	15612879	3pl	ant
018f1cde6bad9747	15716227	3pl	pos
0079bbc151fa56d2	15800105	3pl	ant
cd43ea85d651af92	15927741	2pl	ant
c52827ebd9bfe563	16019073	3pl	ant
29e23b65669fa93b	16313872	3pl	ant
0108c69f708ae783	16354986	3pl	ant
8e098f6d686001a9	16499399	3pl	ant
010d7db066434a8a	16625516	3pl	ant
20a8b33fbdbc30e3	16807444	3pl	ant
f68227769e30abbc	16829561	3pl	ant
84809564179ffb21	16834102	3pl	ant
766f36f4cd973a01	16891564	3pl	pos
387b00909c2e7031	16925334	1pl	ant
004ad1e2734fc1e3	16955720	3pl	ant
bfc35dcc7e63252a	17016154	3pl	ant
018f1cde6bad9747	17041359	3pl	ant
1ffbbc469e2a4cdb	17194861	3pl	ant
018f1cde6bad9747	17257048	3pl	ant
0093a5dd1242be45	17373072	3pl	ant
007424993ff72d95	10779322	1pl	pos
01a9dbb9232f0fac	14078087	3pl	pos
206c436ce43a43a3	237126	1pl	pos
015ebf2571d0d8ce	244960	3pl	pos
088bd1671a2e601a	316685	1pl	pos
2afe3164f39d1b83	434678	1pl	ant
0b79f7e718cb54b9	459161	3pl	pos
cd6c758f24d062c1	534695	3pl	pos
0fb3c76f0e3df6d1	853977	1pl	pos
88611ede08adf571	923844	3pl	pos
d9ebaeaac39060be	1267211	3pl	ant
0079bbc151fa56d2	1314549	1pl	ant
009b71fa17159ccc	1441201	1pl	pos
206c436ce43a43a3	1668452	3pl	ant
1e766d311eb323fb	1824210	3pl	pos
881515ebfb8d6570	1838142	1pl	pos
01be351754bcbe13	1864337	3pl	pos
2afe3164f39d1b83	2074734	2pl	ant
000ceddc32916a4c	2240585	3pl	ant
d0f5be1262dee9aa	2359364	3pl	ant
0a738ff13a08a7dd	2373566	3pl	pos
017115ee2013f809	2410242	3pl	pos
009924a469d7ace1	2511258	3pl	pos
01a9dbb9232f0fac	2563438	3pl	pos
7807880b17af73d8	2761738	1pl	pos
0093a5dd1242be45	2810089	3pl	pos
015d19216c749864	2868421	3pl	ant
61d2919bafbb5c1c	3038466	1pl	pos
0108c69f708ae783	3196257	3pl	ant
014a38a754ca1dbc	3223252	3pl	pos
4afa2757051c5192	3588918	3pl	ant
211f15d1b1a0f8d5	3901566	3pl	pos
00b19b974fd465ae	3955091	3pl	ant
012b6b2c110f0c21	4094675	3pl	pos
206c436ce43a43a3	4223166	1pl	ant
0079b17c6b71e4a4	4996383	3pl	pos
01a9dbb9232f0fac	5032222	3pl	pos
373c6c575cd2601b	5142421	1pl	pos
0198c6f108778b40	5502033	3pl	pos
206c436ce43a43a3	5657272	1pl	ant
01a9dbb9232f0fac	5744680	3pl	pos
01be351754bcbe13	6465711	3pl	ant
01153d1b33e1641b	6660761	3pl	pos
018f1cde6bad9747	6789578	3pl	ant
935d946682cab2e1	6866466	3pl	ant
45f5d38721305323	6929892	1pl	pos
0fb3c76f0e3df6d1	6932420	3pl	ant
97e71b1c46ca76a1	7017263	1pl	pos
006b2a835a30b702	7743113	3pl	pos
21b8315555fd34c4	8038012	3pl	ant
a9530eb697d5ceca	8081757	1pl	pos
00dde8db67eebcf8	8269838	3pl	ant
373c6c575cd2601b	8597588	1pl	pos
01a9dbb9232f0fac	8793408	3pl	pos
0161be1b3f98d6c3	9409012	3pl	pos
358220cb0584bbe3	9423248	1pl	pos
305867481351611b	9494513	1pl	pos
c5c72776b9f0cc0b	9533223	3pl	pos
043383f8b2b79918	9575197	3pl	ant
01be351754bcbe13	9710107	3pl	pos
d09d6a2c5ee929f5	9848779	3pl	ant
0161be1b3f98d6c3	10348519	3pl	ant
0a738ff13a08a7dd	10897198	3pl	ant
4721805e8f35a989	11130779	3pl	pos
1a27537478dd8e38	12001520	1pl	pos
d687bdcf37d51c4f	12013094	2pl	ant
239436f551683101	12017228	2pl	pos
0183fe632a46dab6	12260363	3pl	pos
005ebcae757ae11d	12509291	3pl	ant
cd8919ff978f901c	12575322	1pl	pos
0079bbc151fa56d2	12579468	1pl	pos
01fb944c0dff3d86	12588444	3pl	pos
935d946682cab2e1	13219453	3pl	pos
0fb3c76f0e3df6d1	13328426	3pl	ant
16d7e4bdce732b26	13534266	1pl	pos
4afa2757051c5192	13773020	3pl	ant
01141e434906e058	13834479	3pl	pos
0b58d81e8577700b	14416113	3pl	pos
2dfa9ecb0179a4e4	14636540	3pl	pos
0105a80417c159b4	15280485	3pl	pos
0138a2ed609c5a53	15391054	3pl	pos
0161be1b3f98d6c3	15649297	3pl	pos
c180018bfd4c2953	15654521	3pl	ant
0161be1b3f98d6c3	15902251	3pl	pos
862fdecf3a49a2c9	15943176	3pl	pos
eaa9968c2be92860	16159256	3pl	pos
47a3cf27863714de	16180787	3pl	ant
018f1cde6bad9747	16323334	3pl	pos
0032baff35718ca4	16414649	3pl	ant
015ebf2571d0d8ce	16929274	3pl	pos
0079bbc151fa56d2	17180608	3pl	pos
df916adeb8c34499	17194105	3pl	pos
0114966a7365a447	17281132	3pl	pos
00c4b64e7affea25	17367500	3pl	pos
